Date,Temperature,Rainfall,Evaporation,Sunshine,WindGustSpeed,RainToday,RISK_MM,RainTomorrow
2/26/1960,26.7,0,7.2,7.1,65,No,14.4,Yes
2/27/1960,28.3,14.4,8.8,13.2,28,Yes,0,No
2/28/1960,31.6,0,6.6,13.6,30,No,0,No
2/29/1960,35,0,9.6,13,39,No,0,No
3/1/1960,33.5,0,11.4,13.6,31,No,0,No
3/2/1960,34.2,0,8.8,12.8,35,No,0,No
3/3/1960,35,0,7.6,10.5,41,No,0,No
3/4/1960,23.4,0,12.6,2.2,50,No,0,No
3/5/1960,25.3,0,6.2,12.5,46,No,0,No
3/6/1960,27.5,0,7.4,11.7,35,No,0,No
3/7/1960,34.1,0,6.6,10.5,39,No,0,No
3/8/1960,33.9,0,9,12.6,39,No,0,No
3/9/1960,30.3,0,10,8.1,46,No,0,No
3/10/1960,29.9,0,6.6,8.8,43,No,0,No
3/11/1960,34.2,0,6.6,12.8,33,No,0,No
3/12/1960,35.8,0,9.4,13.3,57,No,0,No
3/13/1960,35.7,0,13.8,6.9,50,No,2,Yes
3/14/1960,33.8,2,9,13.5,52,Yes,0,No
3/15/1960,22.8,0,12.4,6,50,No,0,No
3/16/1960,33.8,0,5.2,11.1,35,No,0,No
3/17/1960,33.2,0,10.4,8.4,59,No,4.8,Yes
3/18/1960,25.1,4.8,6.4,11.6,46,Yes,0,No
3/19/1960,20.4,0,9.6,0.1,39,No,18.8,Yes
3/20/1960,19.6,18.8,5,0,33,Yes,12.2,Yes
3/21/1960,24.7,12.2,1.4,8.1,50,Yes,0.8,No
3/22/1960,19.9,0.8,5.6,1.6,48,No,0,No
3/23/1960,22.5,0,4.4,11.6,33,No,0,No
3/24/1960,24.4,0,5.8,10.8,28,No,0,No
3/25/1960,27.8,0,6.4,9.9,35,No,0,No
3/26/1960,25.7,0,6.8,8.2,41,No,0,No
3/27/1960,28.8,0,7.4,9,28,No,0,No
3/28/1960,31.3,0,6.6,11.6,46,No,0,No
3/29/1960,33.2,0,9.4,13.2,44,No,0,No
3/30/1960,33.9,0,10.4,11.8,46,No,0,No
3/31/1960,34.9,0,9.2,9.9,69,No,5.2,Yes
4/1/1960,27.8,5.2,10.2,3.6,39,Yes,2.2,Yes
4/2/1960,23.8,2.2,5.4,6.2,30,Yes,0,No
4/3/1960,28.8,0,5.8,8.1,30,No,0,No
4/4/1960,29.6,0,5.8,9.2,48,No,1.8,Yes
4/5/1960,22.6,1.8,8,0,33,Yes,9,Yes
4/6/1960,22.8,9,2.8,0.3,30,Yes,1,No
4/7/1960,27.4,1,2.8,8,52,No,0,No
4/8/1960,24.2,0,6.8,5.9,61,No,16.2,Yes
4/9/1960,19.9,16.2,5.4,5.6,41,Yes,0,No
4/10/1960,20.9,0,4,8.9,33,No,0,No
4/11/1960,23.1,0,5.8,9.6,41,No,0,No
4/12/1960,26,0,5,10.7,31,No,4.4,Yes
4/13/1960,24.2,4.4,6.6,5.9,48,Yes,11,Yes
4/14/1960,18.2,11,3.2,0.4,30,Yes,0.2,No
4/15/1960,24.2,0.2,2.8,12.7,33,No,0,No
4/16/1960,25.2,0,5.6,12.6,35,No,0,No
4/17/1960,26.1,0,7.2,12.6,39,No,0,No
4/18/1960,24.1,0,7.4,10.2,46,No,0,No
4/19/1960,25.8,0,6.8,11.7,31,No,0,No
4/20/1960,27.1,0,5.6,12.1,33,No,0,No
4/21/1960,28.9,0,7.2,8.2,39,No,1.8,Yes
4/22/1960,24.8,1.8,7.8,3.8,50,Yes,6.6,Yes
4/23/1960,28.6,6.6,3.2,8.6,50,Yes,0,No
4/24/1960,25.1,0,7.8,12.4,46,No,0,No
4/25/1960,23.8,0,10.4,12.4,44,No,0,No
4/26/1960,25.9,0,5.2,10.2,44,No,0,No
4/27/1960,28.2,0,5,11.6,44,No,0,No
4/28/1960,27.6,0,7.8,8.1,48,No,0,No
4/29/1960,17.3,0,7.6,0.8,48,No,10.4,Yes
4/30/1960,18.4,10.4,5.2,12,48,Yes,0,No
5/1/1960,21.8,0,6.2,12.1,35,No,0,No
5/2/1960,24.4,0,6.2,11.6,35,No,0,No
5/3/1960,27.3,0,5.6,10.1,35,No,0,No
5/4/1960,28.2,0,6,7.3,39,No,0,No
5/5/1960,27.6,0,6,11,46,No,0,No
5/6/1960,31.8,0,6,11.3,41,No,0,No
5/7/1960,29.2,0,8.4,7.5,50,No,3,Yes
5/8/1960,27.4,3,4.8,11.5,24,Yes,0,No
5/9/1960,27.8,0,5,11.5,41,No,0,No
5/10/1960,31.7,0,6.6,11.2,24,No,0,No
5/11/1960,34.7,0,6.4,8.5,46,No,0.2,No
5/12/1960,31.7,0.2,7.8,11,44,No,0,No
5/13/1960,33.1,0,8.6,9.7,39,No,0,No
5/14/1960,33.8,0,7.2,11.3,22,No,0,No
5/15/1960,35.2,0,6.4,11.2,48,No,0,No
5/16/1960,32.3,0,9.4,11.4,28,No,0,No
5/17/1960,30.2,0,7.8,11.2,33,No,0,No
5/18/1960,29.9,0,5.8,10.7,43,No,0,No
5/19/1960,26.2,0,9,9.8,31,No,0,No
5/20/1960,29.3,0,5.2,8,46,No,0,No
5/21/1960,14.8,0,8.2,0,30,No,0,No
5/22/1960,19.6,0,2.8,1.6,33,No,0,No
5/23/1960,24.9,0,2.4,6.2,30,No,0.6,No
5/24/1960,22.4,0.6,4.8,1.9,28,No,6.4,Yes
5/25/1960,17.4,6.4,2.8,0,43,Yes,19.8,Yes
5/26/1960,20.2,19.8,2.6,9.1,46,Yes,0,No
5/27/1960,18.3,0,4.6,9.6,33,No,0,No
5/28/1960,18.2,0,3.6,11,31,No,0,No
5/29/1960,18.5,0,3.4,10,57,No,0,No
5/30/1960,18.9,0,6.4,10.8,50,No,0,No
5/31/1960,18.8,0,6.4,10,57,No,0,No
6/1/1960,21.8,0,6,10.3,22,No,0,No
6/2/1960,23.3,0,3.6,5.6,83,No,2.6,Yes
6/3/1960,14.3,2.6,9.6,9.7,63,Yes,0,No
6/4/1960,18.9,0,4.8,9.6,22,No,0,No
6/5/1960,21.4,0,3.2,10.6,26,No,0,No
6/6/1960,21.8,0,2.8,9.3,35,No,0,No
6/7/1960,20.5,0,3.8,7.8,31,No,0,No
6/8/1960,18.9,0,4.2,4.1,39,No,0,No
6/9/1960,19.5,0,2.8,6.8,17,No,0,No
6/10/1960,22.9,0,2.2,9.5,26,No,0,No
6/11/1960,23.4,0,3.4,10.2,39,No,0,No
6/12/1960,24.1,0,4.6,6.1,35,No,2,Yes
6/13/1960,19.8,2,3.2,7.7,39,Yes,5.2,Yes
6/14/1960,18,5.2,3.8,9.3,31,Yes,0,No
6/15/1960,20.7,0,3.2,10.8,28,No,0,No
6/16/1960,19.3,0,3.4,10.6,31,No,0,No
6/17/1960,21,0,4.6,6.3,26,No,0,No
6/18/1960,19.7,0,3.2,8.3,48,No,0,No
6/19/1960,16.1,0,3,4.9,35,No,0,No
6/20/1960,18.7,0,4.4,7.1,33,No,0,No
6/21/1960,20.6,0,2.8,10.1,30,No,0,No
6/22/1960,18.9,0,3.8,8,33,No,0,No
6/23/1960,19,0,4,6.8,26,No,0,No
6/24/1960,21.2,0,2,7.9,28,No,0,No
6/25/1960,20.9,0,2,8.9,22,No,0.2,No
6/26/1960,21.7,0.2,2.8,6.5,44,No,0,No
6/27/1960,18.7,0,5.8,5.8,59,No,7.2,Yes
6/28/1960,11.3,7.2,4.4,5.6,57,Yes,0.2,No
6/29/1960,13.8,0.2,1.8,9.5,22,No,0,No
6/30/1960,14.8,0,1.4,7,28,No,0,No
7/1/1960,13.8,0,2.8,0.8,31,No,0,No
7/2/1960,17.3,0,1.6,9.2,43,No,0,No
7/3/1960,17.1,0,4,9.4,31,No,0,No
7/4/1960,16.7,0,2.4,9.3,30,No,0,No
7/5/1960,19,0,3.4,8.3,39,No,0,No
7/6/1960,16.8,0,2.8,3,41,No,0,No
7/7/1960,17.6,0,3.4,9.4,43,No,0,No
7/8/1960,18.1,0,4.4,9.4,24,No,0,No
7/9/1960,21,0,2.2,9.2,17,No,0,No
7/10/1960,20.9,0,2.4,9.3,20,No,0,No
7/11/1960,17.4,0,2,1.6,20,No,0,No
7/12/1960,19.2,0,2.2,7.7,24,No,0,No
7/13/1960,19,0,2.2,9.4,30,No,0,No
7/14/1960,18.6,0,2,9.2,31,No,0,No
7/15/1960,17.9,0,2.4,8.7,33,No,1.8,Yes
7/16/1960,16,1.8,3,4.3,35,Yes,1,No
7/17/1960,12.3,1,1.8,1.7,52,No,0.8,No
7/18/1960,14.1,0.8,1.6,8.8,41,No,0,No
7/19/1960,18.1,0,2.2,9.3,52,No,0,No
7/20/1960,17,0,2.2,5.6,31,No,0,No
7/21/1960,17.4,0,2.6,7.3,24,No,0,No
7/22/1960,14.7,0,2.6,9.2,20,No,0,No
7/23/1960,14.8,0,2.4,6.7,17,No,0,No
7/24/1960,14.5,0,1.2,8.9,17,No,0,No
7/25/1960,17.5,0,1.6,8.4,39,No,3.8,Yes
7/26/1960,18.5,3.8,2,5.1,22,Yes,5.2,Yes
7/27/1960,18.1,5.2,1.2,8.5,22,Yes,0,No
7/28/1960,16.8,0,1.6,8.2,20,No,0.2,No
7/29/1960,17.5,0.2,1.2,8.5,20,No,0,No
7/30/1960,18,0,2,8.6,NA,No,0,No
7/31/1960,18.5,0,2.2,8.9,22,No,0,No
8/1/1960,14,0,2.2,2.7,17,No,0,No
8/2/1960,15.7,0,1,0.6,15,No,0.8,No
8/3/1960,14.4,0.8,0.6,0,20,No,3.8,Yes
8/4/1960,15.1,3.8,0.2,2.6,41,Yes,0,No
8/5/1960,15.1,0,2.2,2.7,31,No,0,No
8/6/1960,16.7,0,1.6,9,22,No,0,No
8/7/1960,15.5,0,1.4,9,28,No,0,No
8/8/1960,14.5,0,2,3,30,No,0,No
8/9/1960,16.3,0,1.2,NA,30,No,6.2,Yes
8/10/1960,13.7,6.2,2.2,0,31,Yes,4.8,Yes
8/11/1960,15,4.8,0.2,0.5,46,Yes,0.2,No
8/12/1960,16.4,0.2,1.2,8.5,43,No,0.6,No
8/13/1960,13,0.6,3.2,7.1,54,No,0,No
8/14/1960,11.8,0,2.2,7.2,48,No,0,No
8/15/1960,14.7,0,2.6,8.2,43,No,0,No
8/16/1960,16.9,0,2.6,5.9,26,No,0,No
8/17/1960,15.5,0,1.6,5.8,20,No,0,No
8/18/1960,15.5,0,1,4.7,13,No,0,No
8/19/1960,15.9,0,0.6,2,17,No,4.8,Yes
8/20/1960,11.7,4.8,0.6,0,26,Yes,0.6,No
8/21/1960,13.9,0.6,0.8,7.7,41,No,0,No
8/22/1960,14,0,1.4,7.6,33,No,0,No
8/23/1960,12.9,0,2,6.8,24,No,0,No
8/24/1960,13,0,1.4,4.1,41,No,0,No
8/25/1960,12.6,0,2,9,46,No,0,No
8/26/1960,11.8,0,2.6,6.5,63,No,0,No
8/27/1960,14.3,0,3.4,8.9,35,No,0,No
8/28/1960,14.8,0,2.2,8,15,No,0,No
8/29/1960,16,0,1.4,6.1,31,No,0,No
8/30/1960,15.4,0,2.4,6.4,70,No,2,Yes
8/31/1960,11.7,2,3.6,5.6,78,Yes,0.2,No
9/1/1960,13.1,0.2,2.8,8.2,61,No,0,No
9/2/1960,11.5,0,2.8,8.9,31,No,0,No
9/3/1960,12,0,1.8,3.9,35,No,0,No
9/4/1960,14.2,0,1.4,7,13,No,0,No
9/5/1960,14,0,1.2,7.1,41,No,0.8,No
9/6/1960,11.1,0.8,1.4,0.2,35,No,16.8,Yes
9/7/1960,9.5,16.8,1.4,6.5,35,Yes,0,No
9/8/1960,8.8,0,0.8,2.8,39,No,0,No
9/9/1960,8.7,0,1.8,1.2,65,No,1.6,Yes
9/10/1960,8.4,1.6,1.4,7.7,59,Yes,0.2,No
9/11/1960,11.1,0.2,1.4,6.5,20,No,0,No
9/12/1960,11,0,1,0.9,31,No,0,No
9/13/1960,16.5,0,0.6,8.9,41,No,0,No
9/14/1960,13.6,0,1.8,5.2,28,No,0.2,No
9/15/1960,12.8,0.2,2,1.9,17,No,0,No
9/16/1960,11.5,0,0.6,4.7,41,No,0,No
9/17/1960,10.6,0,0.8,5.6,46,No,1.2,Yes
9/18/1960,11.6,1.2,2.2,8.1,35,Yes,0.2,No
9/19/1960,11,0.2,1.8,0,41,No,19.2,Yes
9/20/1960,11.6,19.2,1.8,7.5,54,Yes,0,No
9/21/1960,11.6,0,1.4,9.2,39,No,0,No
9/22/1960,11.2,0,1.6,7.7,26,No,0,No
9/23/1960,12.2,0,1.6,8.4,30,No,0,No
9/24/1960,12.9,0,1.2,8.1,31,No,0.2,No
9/25/1960,11.3,0.2,2.2,5.9,33,No,0,No
9/26/1960,9.7,0,1.4,1.9,28,No,1.4,Yes
9/27/1960,10.7,1.4,0.8,9.1,59,Yes,0,No
9/28/1960,12.2,0,1.8,8.6,NA,No,0,No
9/29/1960,12.2,0,2.6,8.7,31,No,0,No
9/30/1960,14.1,0,2.2,6.8,48,No,1,No
10/1/1960,9.7,1,2.6,0.7,65,No,6.6,Yes
10/2/1960,11.5,6.6,2.2,9.3,57,Yes,0,No
10/3/1960,12.8,0,2.2,9.6,35,No,0,No
10/4/1960,12.3,0,2.4,5.8,31,No,0,No
10/5/1960,10.9,0,1.8,4.2,50,No,4,Yes
10/6/1960,14.1,4,1.6,8.3,48,Yes,0,No
10/7/1960,11.1,0,3,5,41,No,1.2,Yes
10/8/1960,12.5,1.2,1.4,7.2,43,Yes,0,No
10/9/1960,9.6,0,1.8,7.3,43,No,0.4,No
10/10/1960,7.6,0.4,2.4,4.7,50,No,0.4,No
10/11/1960,9.3,0.4,1.4,9.9,39,No,0,No
10/12/1960,10.4,0,1.8,7.9,59,No,0,No
10/13/1960,12.2,0,2.8,9.8,44,No,0,No
10/14/1960,10.7,0,3.4,9.4,59,No,0,No
10/15/1960,14.7,0,4.4,8.4,52,No,0,No
10/16/1960,14.2,0,3,10,46,No,0,No
10/17/1960,11.6,0,4,10.4,30,No,0,No
10/18/1960,12.5,0,3,6.8,48,No,0,No
10/19/1960,13.1,0,2.2,7.9,33,No,0,No
10/20/1960,14,0,2.4,4.7,39,No,0,No
10/21/1960,14.1,0,3,1.8,46,No,0,No
10/22/1960,12.2,0,2.6,7,59,No,0,No
10/23/1960,11.6,0,5.4,9.5,54,No,0,No
10/24/1960,14.4,0,2.6,10.4,22,No,0,No
10/25/1960,14.2,0,2.6,7.8,31,No,0,No
10/26/1960,17.3,0,2.8,9,48,No,0,No
10/27/1960,15.1,0,3,NA,30,No,0,No
10/28/1960,14.7,0,3.4,9.9,30,No,0,No
10/29/1960,16.2,0,3.4,5.9,28,No,0,No
10/30/1960,16.3,0,1.8,4.1,39,No,4,Yes
10/31/1960,17.2,4,2.2,2.4,59,Yes,7.4,Yes
11/1/1960,14.8,7.4,2.6,10.8,46,Yes,0,No
11/2/1960,16.7,0,3.8,10.2,28,No,0,No
11/3/1960,12.1,0,2.8,3.9,41,No,0.2,No
11/4/1960,11.3,0.2,2.2,0.6,35,No,0,No
11/5/1960,12.4,0,1.6,0,26,No,0,No
11/6/1960,16.1,0,1.8,2.9,35,No,0,No
11/7/1960,16.7,0,2.8,8.6,35,No,1,No
11/8/1960,15.5,1,2.4,9.4,31,No,0,No
11/9/1960,14.7,0,3.4,10.9,43,No,0,No
11/10/1960,15.2,0,4,9.7,30,No,0,No
11/11/1960,16.6,0,3,9.9,31,No,0,No
11/12/1960,21.6,0,5,9.9,48,No,0,No
11/13/1960,25.5,0,5.6,10.2,50,No,9.8,Yes
11/14/1960,19.4,9.8,8.8,6,67,Yes,1.6,Yes
11/15/1960,19.7,1.6,5.2,8,98,Yes,3.4,Yes
11/16/1960,13.2,3.4,6.6,11,65,Yes,0,No
11/17/1960,14.1,0,5.6,9,20,No,0,No
11/18/1960,18,0,1.6,8.6,39,No,0,No
11/19/1960,23.3,0,3.6,10.3,44,No,0,No
11/20/1960,23.3,0,6.8,10.9,65,No,0,No
11/21/1960,19.5,0,10,11,46,No,0,No
11/22/1960,21.9,0,6.8,5.2,80,No,17.4,Yes
11/23/1960,16.2,17.4,6.4,7.9,50,Yes,0,No
11/24/1960,17.3,0,2.2,11.3,31,No,0,No
11/25/1960,18.7,0,2.6,11.1,31,No,0,No
11/26/1960,20.9,0,3.6,10.6,44,No,0,No
11/27/1960,25.7,0,4.8,10.5,50,No,0,No
11/28/1960,24.3,0,9.4,11.1,52,No,0,No
11/29/1960,18.9,0,9.6,9.4,44,No,0,No
11/30/1960,16.8,0,4.8,11.4,41,No,0,No
12/1/1960,20.6,0,5.4,11.1,46,No,0,No
12/2/1960,27.6,0,5.2,11,46,No,0,No
12/3/1960,28.9,0,10,10.8,70,No,7.6,Yes
12/4/1960,20.7,7.6,9.4,4.9,33,Yes,3,Yes
12/5/1960,21.3,3,4.2,6.7,43,Yes,0,No
12/6/1960,18,0,4.8,8.4,65,No,8.2,Yes
12/7/1960,16,8.2,5.4,11.8,57,Yes,0,No
12/8/1960,17.9,0,5.8,11.5,44,No,0,No
12/9/1960,20,0,6.2,11.5,31,No,0,No
12/10/1960,22,0,4.4,11,41,No,0,No
12/11/1960,22.4,0,5.4,11.2,31,No,0,No
12/12/1960,23.9,0,4.8,11.7,30,No,0,No
12/13/1960,26.1,0,6.2,7.5,70,No,13.2,Yes
12/14/1960,21.1,13.2,6.6,NA,41,Yes,0.6,No
12/15/1960,19.6,0.6,3.4,10.4,31,No,0,No
12/16/1960,21,0,4.2,12.2,28,No,0,No
12/17/1960,24.1,0,6.2,12,52,No,0,No
12/18/1960,24.7,0,5.4,8.6,43,No,0,No
12/19/1960,28.5,0,5.8,9.8,46,No,0.2,No
12/20/1960,27.4,0.2,7.6,12.1,52,No,0,No
12/21/1960,20.6,0,9,6.2,39,No,0.8,No
12/22/1960,15,0.8,4.8,11.7,70,No,0,No
12/23/1960,18,0,7.4,12.2,48,No,0,No
12/24/1960,20.7,0,5.4,8.4,39,No,0,No
12/25/1960,25.5,0,5.2,10.8,43,No,0,No
12/26/1960,26.1,0,6.8,3.5,43,No,0,No
12/27/1960,30.7,0,7.6,12.1,76,No,0,No
12/28/1960,28.4,0,11.6,12.7,48,No,0,No
12/29/1960,19.9,0,8.4,5.3,43,No,0,No
12/30/1960,26.9,0,5,7.1,46,No,0,No
12/31/1960,30.2,0,6,12.6,78,No,0,No
